"user_id","thread_id","step_id","type","input","output","createdAt","updatedAt"
admin,ef097cbe-af95-4c93-8ad0-c60a08683c62,"4ceaabd5-7adb-4628-8fdf-a58f03ff2de6",run,{},"","2025-07-24T16:53:35.522539Z","2025-07-24 16:53:51.617519+00"
admin,ef097cbe-af95-4c93-8ad0-c60a08683c62,"1b7bd435-e251-4a76-9949-777265941871",assistant_message,,"กรุณาเลือก Business Group ที่เกี่ยวข้องกับคำถามของคุณ:

1. อำนาจอนุมัติ DoA / LoA การอนุมัติโครงการ และค่าใช้จ่าย
2. คู่ค้าซื้อมาขายไป (Commercial / Trade Supplier)
3. คู่ค้าอื่นๆ (Procurement / Non-Trade Supplier)
4. ลูกค้าผู้เช่าพื้นที่ (Mall / Tenant)
5. ลูกค้า B2B
6. ลูกหนี้อื่นๆ (AR Others / AR non-mall)
7. สินทรัพย์ (Asset)","2025-07-24T16:53:43.400552Z","2025-07-24 16:53:51.626713+00"
admin,ef097cbe-af95-4c93-8ad0-c60a08683c62,"22e05bd4-b7ef-4fcf-9999-eef642df2633",user_message,,"3","2025-07-24T16:53:51.574147Z","2025-07-24 16:53:51.576824+00"
admin,ef097cbe-af95-4c93-8ad0-c60a08683c62,"492ee205-6edd-4b3c-b785-9365fc9766bb",run,"3",Connection closed by server.,"2025-07-24T16:53:51.577074Z","2025-07-24 16:53:51.946252+00"
admin,ef097cbe-af95-4c93-8ad0-c60a08683c62,"8cea6e9f-cc31-41fc-9882-a68efcfa6131",user_message,,"3","2025-07-24T16:54:22.465231Z","2025-07-24 16:54:22.466976+00"
admin,ef097cbe-af95-4c93-8ad0-c60a08683c62,"496ec4bd-0c47-4f8c-8a93-181d9aae89db",run,"3",Connection closed by server.,"2025-07-24T16:54:22.468466Z","2025-07-24 16:54:22.469865+00"
admin,"518caad8-2e22-4bcc-ba26-d0fa020e3a8e","68d777f3-127d-402d-a264-9b5a0821f12c",run,{},"","2025-07-24T16:54:56.486326Z","2025-07-24 16:54:59.017106+00"
admin,"518caad8-2e22-4bcc-ba26-d0fa020e3a8e",e50018e6-7755-491f-b582-d3576ebfd65e,assistant_message,,"กรุณาเลือก Business Group ที่เกี่ยวข้องกับคำถามของคุณ:

1. อำนาจอนุมัติ DoA / LoA การอนุมัติโครงการ และค่าใช้จ่าย
2. คู่ค้าซื้อมาขายไป (Commercial / Trade Supplier)
3. คู่ค้าอื่นๆ (Procurement / Non-Trade Supplier)
4. ลูกค้าผู้เช่าพื้นที่ (Mall / Tenant)
5. ลูกค้า B2B
6. ลูกหนี้อื่นๆ (AR Others / AR non-mall)
7. สินทรัพย์ (Asset)","2025-07-24T16:54:56.897462Z","2025-07-24 16:54:59.02444+00"
admin,"518caad8-2e22-4bcc-ba26-d0fa020e3a8e",ffcbfe79-fa5d-48df-b3ba-5a4ec5f0e570,user_message,,"3","2025-07-24T16:54:58.990590Z","2025-07-24 16:54:58.992686+00"
admin,"518caad8-2e22-4bcc-ba26-d0fa020e3a8e","2817a64c-13cc-4526-b80c-6593b7cb771a",run,"3",Connection closed by server.,"2025-07-24T16:54:58.993415Z","2025-07-24 16:54:58.995498+00"
