index,doc_id_th,doc_id_en,Question TH,Question EN,Answer TH ,Answer TH (Friendly),Answer EN,Answer TH (Friendly Emoji),Answer EN (Friendly),Answer EN (Friendly Emoji),Type ,Online/ Offline 
1,doc_id_th_1,doc_id_en_1,สามารถชำระ Bill Payment ด้วยบัตรเครดิตได้หรือไม่,Can I pay the bill with a credit card?,สำหรับการชำระ Bill Payment ลูกค้าสามารถชำระด้วยเงินสดเท่านั้น,สำหรับการชำระ Bill Payment คุณลูกค้าสามารถชำระได้ด้วยเงินสดเท่านั้นค่ะ 😊,"For Lotus Bill Payment, customers can only pay with cash.",สำหรับการชำระ Bill Payment คุณลูกค้าสามารถชำระได้ด้วยเงินสดเท่านั้นค่ะ 😊,"For Lotus Bill Payment , you can only make payment with cash.","For Bill Payment, customers can pay with cash only 😊.",Bill Payment,Offline
2,doc_id_th_2,doc_id_en_2,การจำหน่ายบัตรของขวัญ (Gift card) สามารถซื้อได้ที่ไหน,Where can I purchase gift cards?,"ติดต่อซื้อได้ที่จุดบริการลูกค้าเฉพาะโลตัสไฮเปอร์มาร์เก็ต(สาขาใหญ่)เท่านั้น
โดยบัตรของขวัญที่จำหน่ายมีมูลค่า 100 บาท 300 บาท 500 บาท และ 1,000 บาท","คุณลูกค้าสามารถซื้อบัตรของขวัญได้ที่จุดบริการลูกค้าในโลตัสไฮเปอร์มาร์เก็ต(สาขาใหญ่) 🎁 
โดยมีมูลค่าให้เลือกตั้งแต่ 100, 300, 500 และ 1,000 บาทค่ะ","You can purchase gift cards only at the customer service counter of Lotus's Hypermarket. The gift cards for sale are availabe at the value of 100 baht, 300 baht, 500 baht, and 1,000 baht.","คุณลูกค้าสามารถซื้อบัตรของขวัญได้ที่จุดบริการลูกค้าในโลตัสไฮเปอร์มาร์เก็ต(สาขาใหญ่) 🎁 
โดยมีมูลค่าให้เลือกตั้งแต่ 100, 300, 500 และ 1,000 บาทค่ะ","You can purchase gift cards at the customer service counter in Lotus's Hypermarket. Available values are 100, 300, 500, and 1,000 baht.","Customers can purchase gift cards at the customer service counter in Lotus's hypermarkets (main branches) 🎁 with values available at 100, 300, 500, and 1,000 baht",Gift Card,Offline
3,doc_id_th_3,doc_id_en_3,"ต้องการซื้อบัตรของขวัญมูลค่าเกิน 10,000บาท ขึ้นไป ต้องดำเนินการอย่างไร","What should I do if I want to buy a gift card worth more than 10,000 baht?","สามารถสั่งซื้อผ่านทางอีเมล giftcard_th@lotuss.com หรือติดต่อแผนก Gift Card โทร. 02-797-9000 ต่อ 6415, 5814 เวลาทำการ: จันทร์ – ศุกร์ เวลา 09.00 - 17.00 น. ยกเว้นวันเสาร์-อาทิตย์ และวันหยุดนักขัตฤกษ์ หรือติดต่อหมายเลข 1430 กด 3 ได้ทุกวัน 9:00 - 23:00 น.

หรือสามารถติดต่อจุดบริการลูกค้า โลตัส สาขาต่อไปนี้ พระราม 2, พระราม 3, พระราม 4, สุขุมวิท 50, บางใหญ่, ฟอร์จูน, รามอินทรา, แจ้งวัฒนะ, สุขุมวิท 50, บางนา, ลาดพร้าว","หากคุณลูกค้าสนใจสั่งซื้อบัตรของขวัญมูลค่าเกิน 10,000บาท ขึ้นไป สามารถติดต่อจุดบริการลูกค้า โลตัส สาขาต่อไปนี้ พระราม 2, พระราม 3, พระราม 4, สุขุมวิท 50, บางใหญ่, ฟอร์จูน, รามอินทรา, แจ้งวัฒนะ, สุขุมวิท 50, บางนา, ลาดพร้าว  

📨 อีเมล: giftcard_th@lotuss.com
📞 โทร: 02-797-9000 ต่อ 6415, 5814 (จันทร์-ศุกร์ 09:00 - 17:00 น.)
📲 โทร: 1430 กด 3 (ทุกวัน 09:00 - 23:00 น.)","You can order through email at giftcard_th@lotuss.com or contact the Gift Card department at 02-797-9000, ext. 6415, 5814. during operating hours, which is Monday to Friday from 09:00 a.m. to 5:00 p.m., excluding Saturdays, Sundays, and public holidays. Alternatively, you can contact our Call Center at 1430, press 3 everyday from 9.00 a.m. to 11.00 p.m.

Or you can also contact the following Lotus's stores:  Rama 2, Rama 3, Rama 4, Sukhumvit 50, Bangyai, Fortune, Ramindra, Chaengwattana, Sukhumvit 50, Bangna, and Ladprao.","หากคุณลูกค้าสนใจสั่งซื้อบัตรของขวัญมูลค่าเกิน 10,000บาท ขึ้นไป สามารถติดต่อจุดบริการลูกค้า โลตัส สาขาต่อไปนี้ พระราม 2, พระราม 3, พระราม 4, สุขุมวิท 50, บางใหญ่, ฟอร์จูน, รามอินทรา, แจ้งวัฒนะ, สุขุมวิท 50, บางนา, ลาดพร้าว  

📨 อีเมล: giftcard_th@lotuss.com
📞 โทร: 02-797-9000 ต่อ 6415, 5814 (จันทร์-ศุกร์ 09:00 - 17:00 น.)
📲 โทร: 1430 กด 3 (ทุกวัน 09:00 - 23:00 น.)","If you’re interested in ordering a gift card, you can email giftcard_th@lotuss.com or call 02-797-9000, ext. 6415, 5814 (Mon-Fri, 9:00 AM - 5:00 PM). Alternatively, you can call our Call Center at 1430, press 3 (Daily, 9:00 AM - 11:00 PM).","If you wish to order gift cards valued at over 10,000 baht, please contact the customer service counter at the following Lotus's branches: Rama 2, Rama 3, Rama 4, Sukhumvit 50, Bang Yai, Fortune, Ramintra, Chaengwattana, Sukhumvit 50, Bang Na, and Ladprao.

📨 Email: giftcard_th@lotuss.com
📞 Phone: 02-797-9000 ext. 6415, 5814 (Monday-Friday 9:00 AM - 5:00 PM)
📲 Call: 1430, press 3 (Daily 9:00 AM - 11:00 PM)",Gift Card,Offline
4,doc_id_th_4,doc_id_en_4,การขอใบกำกับภาษีเมื่อซื้อสินค้าที่สาขา,How can I request a tax invoice when purchasing products at store?,"สามารถติดต่อขอใบกำกับภาษีได้ที่จุดบริการลูกค้าภายในวันที่ซื้อสินค้า โดยเตรียมบัตรประชาชน และหมายเลขโทรศัพท์ (มือถือ, 02, หรือรหัสทางไกล) สำหรับการออกใบกำกับภาษีในนามบุคคลธรรมดา หรือใบ ภพ.20 สำหรับการออกใบกำกับภาษีในนามนิติบุคคล บริษัทไม่สามารถออกใบกำกับภาษีย้อนหลังได้",หากคุณลูกค้าต้องการขอใบกำกับภาษี สามารถติดต่อได้ที่จุดบริการลูกค้าภายในวันที่ซื้อสินค้าค่ะ โดยต้องมีหมายเลขบัตรประชาชนและเบอร์โทรศัพท์สำหรับการออกใบกำกับภาษีในนามบุคคลธรรมดา หรือใบ ภพ.20 สำหรับการออกใบกำกับภาษีในนามนิติบุคคล บริษัทไม่สามารถออกใบกำกับภาษีย้อนหลังได้ค่ะ 😊,"You can contact our customer service counter at store to request a tax invoice within the same day of your purchase. Please provide your identification card and phone number for issuance of personal tax invoices or theCertificate of Value Added Tax (ภพ.20) for issuance of corporate tax invoices.
Please note that our company is unable to issue tax invoices retrospectively.",หากคุณลูกค้าต้องการขอใบกำกับภาษี สามารถติดต่อได้ที่จุดบริการลูกค้าภายในวันที่ซื้อสินค้าค่ะ โดยต้องมีหมายเลขบัตรประชาชนและเบอร์โทรศัพท์สำหรับการออกใบกำกับภาษีในนามบุคคลธรรมดา หรือใบ ภพ.20 สำหรับการออกใบกำกับภาษีในนามนิติบุคคล บริษัทไม่สามารถออกใบกำกับภาษีย้อนหลังได้ค่ะ 😊,"If you need a tax invoice, you can contact the customer service counter on the same day as your purchase. Don’t forget to bring your ID card and phone number.","If you would like to request a tax invoice, please visit the customer service counter on the date of purchase. You must provide your ID card number and phone number for individual tax invoices or a Phor Por 20 form for corporate tax invoices. The company cannot issue retrospective tax invoices 😊.",Tax Invoice,Offline
5,doc_id_th_5,doc_id_en_5,เงื่อนไขการเปลี่ยน/คืนสินค้าสำหรับการซื้อจากสาขา,Refund and Return Policy,"กรณีที่ต้องการเปลี่ยน/คืนสินค้า สามารถนำใบเสร็จและสินค้า พร้อมของแถม (ถ้ามี) ติดต่อสาขาที่ซื้อสินค้าภายในระยะเวลา ตามเงื่อนไขที่กำหนด ดังนี้

ประเภทเครื่องใช้ไฟฟ้า สามารถเปลี่ยนคืนสินค้าได้ภายใน 7 วัน
ประเภทอาหารสด สามารถเปลี่ยนคืนสินค้าได้
ประเภทเสื้อผ้า สามารถเปลี่ยนคืนสินค้าได้ภายใน 30 วัน โดยสินค้าต้องไม่ผ่านการซักหรือใช้งาน (ยกเว้นชุดชั้นในและถุงเท้าจะไม่สามารถเปลี่ยนคืนได้)
ประเภทอาหารแห้งสามารถเปลี่ยนคืนสินค้าได้ภายใน 30 วัน
ประเภทประเภทของใช้ทั่วไป สามารถเปลี่ยนคืนสินค้าได้ภายใน 30 วัน","หากคุณลูกค้าต้องการเปลี่ยนหรือคืนสินค้าที่ซื้อจากสาขา กรุณานำใบเสร็จและสินค้าพร้อมของแถม (ถ้ามี)มาติดต่อที่สาขาที่ซื้อสินค้าภายในระยะเวลาที่กำหนดดังนี้

🔌 ประเภทเครื่องใช้ไฟฟ้า สามารถเปลี่ยนคืนสินค้าได้ภายใน 7 วัน
🥬 ประเภทอาหารสด สามารถเปลี่ยนคืนสินค้าได้ภายในวันที่ซื้อ
👕 ประเภทเสื้อผ้า สามารถเปลี่ยนคืนสินค้าได้ภายใน 30 วัน โดยสินค้าต้องไม่ผ่านการซักหรือใช้งาน (ยกเว้นชุดชั้นในและถุงเท้าจะไม่สามารถเปลี่ยนคืนได้)
🍪 ประเภทอาหารแห้งสามารถเปลี่ยนคืนสินค้าได้ภายใน 30 วัน
🪑 ประเภทประเภทของใช้ทั่วไป สามารถเปลี่ยนคืนสินค้าได้ภายใน 30 วันค่ะ","In case you want to exchange/return a product, please bring the receipt, product and premium (if any) and contact the Lotus's store where you have purchased the product within the specified period and conditions set out below.

Electrical appliances can be returned within 7 days.
Fresh food items can be returned.
Clothing items can be returned within 30 days, provided they have not been washed or used (except for underwear and socks, which cannot be returned).
Dry food items can be returned within 30 days.
General merchandise items can be returned within 30 days.","หากคุณลูกค้าต้องการเปลี่ยนหรือคืนสินค้าที่ซื้อจากสาขา กรุณานำใบเสร็จและสินค้าพร้อมของแถม (ถ้ามี)มาติดต่อที่สาขาที่ซื้อสินค้าภายในระยะเวลาที่กำหนดดังนี้

🔌 ประเภทเครื่องใช้ไฟฟ้า สามารถเปลี่ยนคืนสินค้าได้ภายใน 7 วัน
🥬 ประเภทอาหารสด สามารถเปลี่ยนคืนสินค้าได้ภายในวันที่ซื้อ
👕 ประเภทเสื้อผ้า สามารถเปลี่ยนคืนสินค้าได้ภายใน 30 วัน โดยสินค้าต้องไม่ผ่านการซักหรือใช้งาน (ยกเว้นชุดชั้นในและถุงเท้าจะไม่สามารถเปลี่ยนคืนได้)
🍪 ประเภทอาหารแห้งสามารถเปลี่ยนคืนสินค้าได้ภายใน 30 วัน
🪑 ประเภทประเภทของใช้ทั่วไป สามารถเปลี่ยนคืนสินค้าได้ภายใน 30 วันค่ะ","If you need to exchange or return a product, please bring your receipt and product to the store where it was purchased within the specified period. For example, electrical appliances within 7 days, or dry food items within 30 days.","If you would like to exchange or return products purchased in-store, please bring the receipt, product, and any accompanying gifts (if applicable) to the store where the purchase was made within the specified timeframes as follows:

🔌 Electronics: Returns or exchanges within 7 days
🥬 Fresh food: Returns or exchanges on the day of purchase
👕 Clothing: Returns or exchanges within 30 days, provided the items have not been washed or used (underwear and socks cannot be returned or exchanged)
🍪 Dry food: Returns or exchanges within 30 days
🪑 General household items: Returns or exchanges within 30 days.",Return Policy,Offline
6,doc_id_th_6,doc_id_en_6,ต้องการสอบถามเกี่ยวกับบัตรเครดิตโลตัส ต้องติดต่อที่ไหน,Inquiries about Lotus's credit cards,"หากต้องการสอบถามเกี่ยวกับบัตรเครดิตของโลตัส  เช่น ยอดค้างชำระ, waive ค่าธรรมเนียมแนะนำลูกค้าติดต่อที่หมายเลข 1712 กด 1 ",หากคุณลูกค้าต้องการสอบถามเกี่ยวกับบัตรเครดิตโลตัส เช่น สอบถามยอดค้างชำระ หรือค่าธรรมเนียม สามารถติดต่อที่หมายเลข 1712 กด 1 ได้เลยค่ะ,"If you have inquiries about Lotus's credit cards, please contact 1712, press 1 for assistance.",หากคุณลูกค้าต้องการสอบถามยอดค้างชำระ หรือค่าธรรมเนียม สามารถติดต่อที่หมายเลข 1712 กด 1 ได้เลยค่ะ 📞,"If you have any questions about Lotus's credit cards, such as outstanding balances or fees, you can contact us at 1712, press 1 for assistance.","If you need to inquire about outstanding balances or fees, please contact 1712, press 1 📞",Credit Card,Offline
7,doc_id_th_7,doc_id_en_7,เสนอพื้นที่ให้โลตัสเช่า,Offering rental spaces,"ลูกค้าสามารถติดต่อหรือแสดงความจำนงว่าต้องนำเสนอพื้นที่เช่า พร้อมแนบเอกสารสำเนาโฉนดที่ดิน,ขนาดของพื้นที่ที่นำเสนอให้เช่า,พิกัดของจุดที่ตั้ง,เบอร์โทรศัพท์ติดต่อกลับและค่าเช่าที่ต้องการ โดยส่งอีเมลตามเขตพื้นที่ในเว็บไซต์ https://corporate.lotuss.com/property/",หากคุณลูกค้าสนใจเสนอพื้นที่เช่า สามารถส่งเอกสารสำเนาโฉนดที่ดิน ขนาดพื้นที่ พิกัด เบอร์โทร และค่าเช่าที่ต้องการ มาที่อีเมลตามเขตพื้นที่ที่ระบุในเว็บไซต์ https://corporate.lotuss.com/property/ ค่ะ,"Customers can express interest in offering rental spaces by submitting a copy of the land title deed, dimensions of the proposed rental space, the coordinates of the location, a contact phone number, and the desired rental fee. Send the information via email based on the area specified on the website: https://corporate.lotuss.com/property/.",หากคุณลูกค้าสนใจเสนอพื้นที่เช่า สามารถส่งเอกสารสำเนาโฉนดที่ดิน ขนาดพื้นที่ พิกัด เบอร์โทร และค่าเช่าที่ต้องการ มาที่อีเมลตามเขตพื้นที่ที่ระบุในเว็บไซต์ https://corporate.lotuss.com/property/ ค่ะ 🏢,"If you’re interested in offering rental spaces, you can send a copy of the land title deed, space dimensions, coordinates, phone number, and rental fee to the email addresses specified on the website: https://corporate.lotuss.com/property/.","If you are interested in leasing space, please send copies of the land title deed, area size, location, phone number, and desired rental price to the email address specified for each region on the website: https://corporate.lotuss.com/property/ 🏢.",Other,Offline
8,doc_id_th_8,doc_id_en_8,ต้องการสมัครเป็นร้านค้าในโลตัส,Recruit New Shop,ลูกค้าสามารถติดต่อหรือแสดงความจำนงว่าต้องการสมัครร้านค้า ตรวจสอบรายละเอียดเพิ่มเติมได้ที่ เว็บไซต์ https://corporate.lotuss.com/recruit-new-shop/,หากคุณลูกค้าสนใจสมัครร้านค้ากับโลตัส สามารถดูรายละเอียดเพิ่มเติมได้ที่ https://corporate.lotuss.com/recruit-new-shop/ ค่ะ,"Customers interested in becoming a new shop ,please recheck mored details in website: https://corporate.lotuss.com/recruit-new-shop/.",หากคุณลูกค้าสนใจสมัครร้านค้ากับโลตัส สามารถดูรายละเอียดเพิ่มเติมได้ที่ https://corporate.lotuss.com/recruit-new-shop/ ค่ะ 📑,"If you’re interested in becoming a new shop with Lotus, you can find more details at https://corporate.lotuss.com/recruit-new-shop/. Feel free to ask us for more information!","If you are interested in becoming a vendor with Lotus's, you can find more details at https://corporate.lotuss.com/recruit-new-shop/ 📑.

",Other,Offline
9,doc_id_th_9,doc_id_en_9,ต้องการสมัครงาน,Job applications,"กรณีต้องการติดต่อสมัครงาน รบกวนติดต่อผ่านเจ้าหน้าที่ฝ่ายบุคคล  สำนักงานใหญ่ โทร 027979000 ระหว่างเวลาทำการ 09.00น.  16.30 น. วันจ.ศ. เว้นวันหยุดราชการ หรือติดต่อสอบถามข้อมูลในโลตัสสาขาที่ลูกค้าสนใจด้วยตัวเองนะคะ
หรือคลิกที่ลิงก์นี้ เพื่อฝากประวัติสมัครงานไว้ค่ะ https://careers.lotuss.com/",หากคุณลูกค้าต้องการสมัครงานกับโลตัส ติดต่อฝ่ายบุคคลที่เบอร์ 02-797-9000 วันจันทร์ - ศุกร์ เวลา 09:00 - 16:30 น. หรือฝากประวัติสมัครงานได้ที่ https://careers.lotuss.com หรือติดต่อสอบถามข้อมูลในโลตัสสาขาที่ลูกค้าสนใจด้วยตัวเองค่ะ,"For job applications, please contact the HR department at the head office by calling 02-797-9000 during business hours (Monday to Friday, 9:00 AM - 4:30 PM, excluding public holidays). Alternatively, visit the Lotus branch where you are interested in applying. You can also click this link to submit your application: https://careers.lotuss.com/","หากคุณลูกค้าต้องการสมัครงานกับโลตัส:
- ติดต่อฝ่ายบุคคลที่เบอร์ 02-797-9000 (จันทร์ - ศุกร์ 09:00 - 16:30 น.) 📞
- ฝากประวัติสมัครงานที่ https://careers.lotuss.com
- หรือสอบถามข้อมูลในสาขาที่ลูกค้าสนใจด้วยตัวเองค่ะ 📝","If you’d like to apply for a job with Lotus, you can contact the HR department at 02-797-9000 (Mon-Fri, 9:00 AM - 4:30 PM), or submit your application at https://careers.lotuss.com.","If you wish to apply for a job at Lotus's:

Contact HR at 02-797-9000 (Monday-Friday 9:00 AM - 4:30 PM) 📞
Submit your application at https://careers.lotuss.com
Or inquire in person at the branch you are interested in 📝.",Other,Offline
10,doc_id_th_10,doc_id_en_10,เงือนไขการใช้บัตร Gift card ,Condition for Gift Card ,"• บัตรของขวัญใช้ชำระค่าสินค้าที่ห้างโลตัส ได้ทุกสาขา ยกเว้นสินค้าประเภทสุรา บุหรี่และยาสูบ, ศูนย์อาหาร, บิลเพย์เมนท์, ค่าธรรมเนียม, บัตรเติมเงินทุกประเภท, บัตรของขวัญ, โลตัส ช้อปออนไลน์ และร้านค้าในบริเวณพื้นที่เช่าของโลตัส 
• บัตรของขวัญนี้ไม่สามารถแลกเปลี่ยน, คืนหรือทอนเป็นเงินสด, โอนหรือรวมมูลค่าระหว่างบัตร และไม่สามารถนำไปซื้อหรือเติมเงินให้บัตรของขวัญ โลตัส ใบอื่น 
• บัตรของขวัญสามารถใช้ร่วมกับการชำระค่าสินค้าด้วยเงินสด และ/หรือบัตรเครดิตได้ 
• บริษัทฯ ขอสงวนสิทธิ์ในการรับ/คืนบัตรของขวัญ ยกเลิกบัตรของขวัญ รวมถึงไม่ชดเชยความเสียหายกรณีที่บัตรชำรุด หรือมีการเปลี่ยนแปลงที่เกิดขึ้นกับบัตร หรือบัตรสูญหาย   
• บริษัทฯ ขอสงวนสิทธิ์ในการเปลี่ยนแปลงเงื่อนไขโดยไม่ต้องแจ้งให้ทราบล่วงหน้า","เงือนไขการใช้บัตร Gift card มีดังนี้ค่ะ

 • บัตรของขวัญใช้ชำระค่าสินค้าที่โลตัสได้ทุกสาขา ยกเว้นสินค้าประเภทสุรา บุหรี่และยาสูบ, ศูนย์อาหาร, บิลเพย์เมนท์, ค่าธรรมเนียม, บัตรเติมเงินทุกประเภท, บัตรของขวัญ, โลตัส ช้อปออนไลน์ และร้านค้าในบริเวณพื้นที่เช่าของโลตัส 
• บัตรของขวัญนี้ไม่สามารถแลกเปลี่ยน, คืนหรือทอนเป็นเงินสด, โอนหรือรวมมูลค่าระหว่างบัตร และไม่สามารถนำไปซื้อหรือเติมเงินให้บัตรของขวัญ โลตัส ใบอื่น 
• บัตรของขวัญสามารถใช้ร่วมกับการชำระค่าสินค้าด้วยเงินสด และ/หรือบัตรเครดิตได้ 
• บริษัทฯ ขอสงวนสิทธิ์ในการรับ/คืนบัตรของขวัญ ยกเลิกบัตรของขวัญ รวมถึงไม่ชดเชยความเสียหายกรณีที่บัตรชำรุด หรือมีการเปลี่ยนแปลงที่เกิดขึ้นกับบัตร หรือบัตรสูญหาย   
• บริษัทฯ ขอสงวนสิทธิ์ในการเปลี่ยนแปลงเงื่อนไขโดยไม่ต้องแจ้งให้ทราบล่วงหน้าค่ะ","Lotus Gift Cards can be used to pay for products at all Lotus stores, except for the following items:
Alcohol, tobacco, and cigarettes
Food courts
Bill payments
Fees and charges
All types of top-up cards
Gift cards
Lotus Shop Online
Stores located in leased areas within Lotus
• This Gift Card cannot be exchanged, returned, or redeemed for cash, transferred or combined with the value of other cards, nor can it be used to purchase or top-up another Lotus Gift Card.
• The Gift Card can be used in combination with cash and/or credit card payments.
• The company reserves the right to refuse or return the Gift Card, cancel the Gift Card, and is not liable for any damage, changes, or loss of the Gift Card.
• The company reserves the right to change the terms and conditions without prior notice.","เงือนไขการใช้บัตร Gift card 🎁  มีดังนี้ค่ะ

 • บัตรของขวัญใช้ชำระค่าสินค้าที่โลตัสได้ทุกสาขา ยกเว้นสินค้าประเภทสุรา บุหรี่และยาสูบ, ศูนย์อาหาร, บิลเพย์เมนท์, ค่าธรรมเนียม, บัตรเติมเงินทุกประเภท, บัตรของขวัญ, โลตัส ช้อปออนไลน์ และร้านค้าในบริเวณพื้นที่เช่าของโลตัส 
• บัตรของขวัญนี้ไม่สามารถแลกเปลี่ยน, คืนหรือทอนเป็นเงินสด, โอนหรือรวมมูลค่าระหว่างบัตร และไม่สามารถนำไปซื้อหรือเติมเงินให้บัตรของขวัญ โลตัส ใบอื่น 
• บัตรของขวัญสามารถใช้ร่วมกับการชำระค่าสินค้าด้วยเงินสด และ/หรือบัตรเครดิตได้ 
• บริษัทฯ ขอสงวนสิทธิ์ในการรับ/คืนบัตรของขวัญ ยกเลิกบัตรของขวัญ รวมถึงไม่ชดเชยความเสียหายกรณีที่บัตรชำรุด หรือมีการเปลี่ยนแปลงที่เกิดขึ้นกับบัตร หรือบัตรสูญหาย   
• บริษัทฯ ขอสงวนสิทธิ์ในการเปลี่ยนแปลงเงื่อนไขโดยไม่ต้องแจ้งให้ทราบล่วงหน้าค่ะ","Lotus Gift Cards can be used to pay for products at all Lotus stores, except for the following items:
Alcohol, tobacco, and cigarettes
Food courts
Bill payments
Fees and charges
All types of top-up cards
Gift cards
Lotus Shop Online
Stores located in leased areas within Lotus
• This Gift Card cannot be exchanged, returned, or redeemed for cash, transferred or combined with the value of other cards, nor can it be used to purchase or top-up another Lotus Gift Card.
• The Gift Card can be used in combination with cash and/or credit card payments.
• The company reserves the right to refuse or return the Gift Card, cancel the Gift Card, and is not liable for any damage, changes, or loss of the Gift Card.
• The company reserves the right to change the terms and conditions without prior notice.","Gift Card Terms and Conditions 🎁

Gift cards can be used for purchases at all Lotus's branches except for alcohol, cigarettes and tobacco, food courts, bill payments, fees, all types of top-up cards, gift cards, Lotus's online shopping, and shops in rental areas.
Gift cards cannot be exchanged, refunded, redeemed for cash, transferred, combined with other cards, or used to purchase or top-up another Lotus's gift card.
Gift cards can be used in conjunction with cash and/or credit cards for payment.
The company reserves the right to accept/return or cancel gift cards and will not compensate for damaged, altered, or lost cards.
The company reserves the right to amend terms and conditions without prior notice.",Gift Card,Offline
