Store id,StoreID,doc_id,Name,English Name,Latitude,Longitude,GoogleMap URL,Online Status,Store Type,Street,City,State,Postcode,region,Delivery Type,Online Open Hour,Online Open Hour,Offline Format,Offline Open Hour,Offline Address,Offline Address + Phone,Store Email,Contact Number,Contact Number,,,,Valid/Invalid,,Revised Contact Number
TH1101,1101,store_doc_1101,โลตัส โกเฟรช รามอินทรา,Lotus Go Fresh Ramintra,13.845254,100.650887,"https://www.google.com/maps/place/13.845254,100.650887",ACTIVE,go_fresh,เลขที่ 53 ถนนรามอินทรา,เขตคันนายาว,กรุงเทพมหานคร,10230,แขวงคันนายาว,OnDemand,7:00-20:00,"7:00-20:00 (ทั้งนี้ระยะเวลาทำการของ Lotus's Shop Online อาจมีการเปลี่ยนแปลงในแต่ละสาขา ลูกค้าสามารถตรวจสอบเพิ่มเติมได้ผ่านเมนู ""เวลาจัดส่ง"" เพิ่มเติมค่ะ)",Mini Supermarket,05:30-21:00 (16.5Hrs),เลขที่ 53 ถนนรามอินทรา แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230,"เลขที่ 53 ถนนรามอินทรา แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230, โทรศัพท์: 094-479-4782",exp101-sm@lotuss.com,0944794782,0944794782,0944794782,094-479-4782,Valid,Valid,0944794782,094-479-4782
TH1102,1102,store_doc_1102,โลตัส โกเฟรช วิภาวดี,Lotus Go Fresh Viphavadeerangsit,13.79652,100.560539,"https://www.google.com/maps/place/13.79652,100.560539",ACTIVE,go_fresh,เลขที่ 1005/1 ถนนวิภาวดีรังสิต,เขตจตุจักร,กรุงเทพมหานคร,10900,แขวงจอมพล,OnDemand,7:00-22:00,"7:00-22:00 (ทั้งนี้ระยะเวลาทำการของ Lotus's Shop Online อาจมีการเปลี่ยนแปลงในแต่ละสาขา ลูกค้าสามารถตรวจสอบเพิ่มเติมได้ผ่านเมนู ""เวลาจัดส่ง"" เพิ่มเติมค่ะ)",Mini Supermarket,24 Hours,เลขที่ 1005/1 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,"เลขที่ 1005/1 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900, โทรศัพท์: 062-605-7450",exp102-sm@lotuss.com,0626057450,0626057450,0626057450,062-605-7450,Valid,Valid,0626057450,062-605-7450
TH1104,1104,store_doc_1104,โลตัส โกเฟรช เสนานิคม,Lotus Go Fresh Senanikom,13.831021,100.570202,"https://www.google.com/maps/place/13.831021,100.570202",ACTIVE,go_fresh,เลขที่ 1881/1 ถนนพหลโยธิน,เขตจตุจักร,กรุงเทพมหานคร,10900,แขวงลาดยาว,OnDemand,7:00-22:00,"7:00-22:00 (ทั้งนี้ระยะเวลาทำการของ Lotus's Shop Online อาจมีการเปลี่ยนแปลงในแต่ละสาขา ลูกค้าสามารถตรวจสอบเพิ่มเติมได้ผ่านเมนู ""เวลาจัดส่ง"" เพิ่มเติมค่ะ)",Mini Supermarket,24 Hours,เลขที่ 1881/1 ถนนพหลโยธิน แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,"เลขที่ 1881/1 ถนนพหลโยธิน แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900, โทรศัพท์: 062-605-7452",exp104-sm@lotuss.com,0626057452,0626057452,0626057452,062-605-7452,Valid,Valid,0626057452,062-605-7452
TH1105,1105,store_doc_1105,โลตัส โกเฟรช อารีย์,Lotus Go Fresh Aree,13.778303,100.54374,"https://www.google.com/maps/place/13.778303,100.54374",ACTIVE,go_fresh,เลขที่ 1183/1 ถนนพหลโยธิน,เขตพญาไท,กรุงเทพมหานคร,10400,แขวงสามเสนใน,OnDemand,7:00-22:00,"7:00-22:00 (ทั้งนี้ระยะเวลาทำการของ Lotus's Shop Online อาจมีการเปลี่ยนแปลงในแต่ละสาขา ลูกค้าสามารถตรวจสอบเพิ่มเติมได้ผ่านเมนู ""เวลาจัดส่ง"" เพิ่มเติมค่ะ)",Mini Supermarket,24 Hours,เลขที่ 1183/1 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,"เลขที่ 1183/1 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400, โทรศัพท์: 062-605-7453",exp105-sm@lotuss.com,0626057453,0626057453,0626057453,062-605-7453,Valid,Valid,0626057453,062-605-7453
TH1106,1106,store_doc_1106,โลตัส โกเฟรช สุขาภิบาล 1,Lotus Go Fresh Sukhapibal 1,13.795477,100.650495,"https://www.google.com/maps/place/13.795477,100.650495",ACTIVE,go_fresh,เลขที่ 66/139 หมู่ที่ 5 ถนนสุขาภิบาล 1,เขตบึงกุ่ม,กรุงเทพมหานคร,10240,แขวงคลองกุ่ม,OnDemand,7:00-22:00,"7:00-22:00 (ทั้งนี้ระยะเวลาทำการของ Lotus's Shop Online อาจมีการเปลี่ยนแปลงในแต่ละสาขา ลูกค้าสามารถตรวจสอบเพิ่มเติมได้ผ่านเมนู ""เวลาจัดส่ง"" เพิ่มเติมค่ะ)",Mini Supermarket,06:00-23:00 (17Hrs),เลขที่ 66/139 หมู่ที่ 5 ถนนสุขาภิบาล 1 แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240,"เลขที่ 66/139 หมู่ที่ 5 ถนนสุขาภิบาล 1 แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240, โทรศัพท์: 081-245-7631",exp106-sm@lotuss.com,0812457631,0812457631,0812457631,081-245-7631,Valid,Valid,0812457631,081-245-7631
TH1109,1109,store_doc_1109,โลตัส โกเฟรช ลาดพร้าว 120,Lotus Go Fresh Ladpraw 120,13.778033,100.623068,"https://www.google.com/maps/place/13.778033,100.623068",ACTIVE,go_fresh,เลขที่ 2410 ถนนลาดพร้าว,เขตวังทองหลาง,กรุงเทพมหานคร,10310,แขวงวังทองหลาง,OnDemand,7:00-20:00,"7:00-20:00 (ทั้งนี้ระยะเวลาทำการของ Lotus's Shop Online อาจมีการเปลี่ยนแปลงในแต่ละสาขา ลูกค้าสามารถตรวจสอบเพิ่มเติมได้ผ่านเมนู ""เวลาจัดส่ง"" เพิ่มเติมค่ะ)",Mini Supermarket,06:00-22:30 (16.5Hrs),เลขที่ 2410 ถ.ลาดพร้าว แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,"เลขที่ 2410 ถ.ลาดพร้าว แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310, โทรศัพท์: 098-263-7472",exp109-sm@lotuss.com,0982637472,0982637472,0982637472,098-263-7472,Valid,Valid,0982637472,098-263-7472
TH1110,1110,store_doc_1110,โลตัส โกเฟรช เพชรบุรีตัดใหม่,Lotus Go Fresh New Petchaburi Road,13.747136,100.575631,"https://www.google.com/maps/place/13.747136,100.575631",ACTIVE,go_fresh,เลขที่ 2063 ถนนเพชรบุรีตัดใหม่,เขตห้วยขวาง,กรุงเทพมหานคร,10320,แขวงบางกะปิ,OnDemand,7:00-22:00 ,"7:00-22:00  (ทั้งนี้ระยะเวลาทำการของ Lotus's Shop Online อาจมีการเปลี่ยนแปลงในแต่ละสาขา ลูกค้าสามารถตรวจสอบเพิ่มเติมได้ผ่านเมนู ""เวลาจัดส่ง"" เพิ่มเติมค่ะ)",Mini Supermarket,24 Hours ,เลขที่ 2063 ถ.เพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กทม. 10320,"เลขที่ 2063 ถ.เพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กทม. 10320, โทรศัพท์: 062-605-7457",exp110-sm@lotuss.com,0626057457,0626057457,0626057457,062-605-7457,Valid,Valid,0626057457,062-605-7457
TH1111,1111,store_doc_1111,โลตัส โกเฟรช จรัญสนิทวงศ์ 13,Lotus Go Fresh Charan13,13.741173,100.47109,"https://www.google.com/maps/place/13.741173,100.47109",ACTIVE,go_fresh,เลขที่ 44/224 ถนนจรัญสนิทวงศ์,เขตบางกอกใหญ่,กรุงเทพมหานคร,10600,แขวงวัดท่าพระ,OnDemand,7:00-22:00,"7:00-22:00 (ทั้งนี้ระยะเวลาทำการของ Lotus's Shop Online อาจมีการเปลี่ยนแปลงในแต่ละสาขา ลูกค้าสามารถตรวจสอบเพิ่มเติมได้ผ่านเมนู ""เวลาจัดส่ง"" เพิ่มเติมค่ะ)",Mini Supermarket,24 Hours ,เลขที่ 44/224 ถ.จรัญสนิทวงศ์ แขวงท่าพระ เขตบางกอกใหญ่ กทม. 10600,"เลขที่ 44/224 ถ.จรัญสนิทวงศ์ แขวงท่าพระ เขตบางกอกใหญ่ กทม. 10600, โทรศัพท์: 062-605-7458",exp111-sm@lotuss.com,0626057458,0626057458,0626057458,062-605-7458,Valid,Valid,0626057458,062-605-7458
TH1112,1112,store_doc_1112,โลตัส โกเฟรช สำโรง-สมุทรปราการ,Lotus Go Fresh Samrong,13.654294,100.599292,"https://www.google.com/maps/place/13.654294,100.599292",ACTIVE,go_fresh,เลขที่ 970/1 หมู่ที่ 6,อำเภอเมืองสมุทรปราการ,สมุทรปราการ,10270,ตำบลสำโรงเหนือ,OnDemand,7:00-20:00,"7:00-20:00 (ทั้งนี้ระยะเวลาทำการของ Lotus's Shop Online อาจมีการเปลี่ยนแปลงในแต่ละสาขา ลูกค้าสามารถตรวจสอบเพิ่มเติมได้ผ่านเมนู ""เวลาจัดส่ง"" เพิ่มเติมค่ะ)",Mini Supermarket,06:00-22:00 (16Hrs),เลขที่ 970/1 หมู่ 6 ถ.สุขุมวิท ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,"เลขที่ 970/1 หมู่ 6 ถ.สุขุมวิท ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270, โทรศัพท์: 062-605-7459",exp112-sm@lotuss.com,0626057459,0626057459,0626057459,062-605-7459,Valid,Valid,0626057459,062-605-7459
TH1113,1113,store_doc_1113,โลตัส โกเฟรช อุดมสุข,Lotus Go Fresh Udomsuk,13.678194,100.616434,"https://www.google.com/maps/place/13.678194,100.616434",ACTIVE,go_fresh,เลขที่ 268 ซอยสุขุมวิท 103,เขตบางนา,กรุงเทพมหานคร,10260,แขวงบางนา,OnDemand,7:00-22:00,"7:00-22:00 (ทั้งนี้ระยะเวลาทำการของ Lotus's Shop Online อาจมีการเปลี่ยนแปลงในแต่ละสาขา ลูกค้าสามารถตรวจสอบเพิ่มเติมได้ผ่านเมนู ""เวลาจัดส่ง"" เพิ่มเติมค่ะ)",Mini Supermarket,24 Hours ,เลขที่ 180 ถ.อุดมสุข แขวงบางนาเหนือ เขตบางนา กรุงเทพฯ 10110,"เลขที่ 180 ถ.อุดมสุข แขวงบางนาเหนือ เขตบางนา กรุงเทพฯ 10110, โทรศัพท์: 062-605-7460",exp113-sm@lotuss.com,0626057460,0626057460,0626057460,062-605-7460,Valid,Valid,0626057460,062-605-7460
